Points_0,Points_1,vel_0
-0.00509208,0.0015238,33.5798
-0.0072085,0.00259581,35.2388
-0.00937328,0.00371717,36.7167
-0.0115875,0.00488893,37.9372
-0.0138524,0.006112,38.9579
-0.016169,0.00738718,39.8404
-0.0185385,0.00871511,40.6242
-0.0209622,0.0100963,41.3303
-0.0234413,0.0115309,41.976
-0.025977,0.0130191,42.5734
-0.0285706,0.0145607,43.13
-0.0312236,0.0161554,43.6522
-0.0339371,0.0178025,44.1437
-0.0367127,0.0195011,44.6078
-0.0395516,0.0212501,45.0462
-0.0424555,0.023048,45.4601
-0.0454257,0.024893,45.849
-0.0484638,0.0267833,46.2127
0.038125,-0.0123,-9.26743
0.036875,-0.0117017,-7.71566
0.035625,-0.011305,-7.45969
0.034375,-0.0109083,-7.12222
0.033125,-0.0105117,-6.71959
0.031875,-0.010115,-6.26297
0.030625,-0.00971833,-5.76232
0.029375,-0.00932167,-5.22726
0.028125,-0.008925,-4.66722
0.026875,-0.00852833,-4.09148
0.025625,-0.00813167,-3.50924
0.024375,-0.007735,-2.92972
0.023125,-0.00733833,-2.36232
0.021875,-0.00694167,-1.81651
0.020625,-0.006545,-1.3014
0.019375,-0.00614833,-0.824826
0.018125,-0.00575167,-0.392402
0.016875,-0.005355,-0.00702956
0.015625,-0.00495833,0.331053
0.014375,-0.00456167,0.624614
0.013125,-0.004165,0.880264
0.011875,-0.00376833,1.10601
0.010625,-0.00337167,1.29941
0.009375,-0.002975,1.43389
0.008125,-0.00257833,1.47525
0.006875,-0.00218167,1.45169
0.005625,-0.001785,1.50172
0.004375,-0.00138833,1.73063
0.003125,-0.000991667,1.68779
0.001875,-0.000595,2.39875
0.000625,-0.000198333,1.64175
-0.00100003,0.0005,26.7996
-0.00302294,0.0015238,33.6783
-0.00509208,0.00259581,35.3628
-0.0072085,0.00371717,36.8289
-0.00937328,0.00488893,38.0168
-0.0115875,0.006112,39.0266
-0.0138524,0.00738718,39.9001
-0.016169,0.00871511,40.6736
-0.0185385,0.0100963,41.3729
-0.0209622,0.0115309,42.0126
-0.0234413,0.0130191,42.6041
-0.025977,0.0145607,43.156
-0.0285706,0.0161554,43.6736
-0.0312236,0.0178025,44.1612
-0.0339371,0.0195011,44.6215
-0.0367127,0.0212501,45.0564
-0.0395516,0.023048,45.4671
-0.0424555,0.024893,45.854
